name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Fe,iron,Fe,cr1,RH95,CHNOSZ,05.Aug.07,0,0,6.475,5.994,7.092,7.162,-6.9682,0,0,1.2294,0,0,1043
Fe,iron,Fe,cr2,RH95,CHNOSZ,05.Aug.07,-32284.5,-87223.4,-177.791,NA,7.092,504.577,-807.244,0,0,32.754,0,0,1185
Fe,iron,Fe,cr3,RH95,CHNOSZ,05.Aug.07,1348.8,1843.8,8.1352,NA,7.092,5.1938,2.3381,1.5019,0,0,0,0,1667
Fe,iron,Fe,cr4,RH95,CHNOSZ,05.Aug.07,3190.2,4835.6,11.994,NA,7.092,-4.033,8.0055,9.5584,0,0,0,0,1809
