name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Yb(Ac)3,NA,Yb(CH3COO)3,aq,"SK93 [S98]",NA,10.Sep.92,-425590,-520890,-9.7,228.1,104.4,16.0356,31.3743,-6.5843,-4.0759,139.5859,43.4346,-0.03,0
Rb(Ac),NA,RbCH3COO,aq,"SK93 [S98]",NA,19.Aug.92,-156110,-174950,53.7,48,65.3,10.6948,18.3352,-1.4623,-3.5369,33.9961,6.7343,-0.03,0
Rb(Ac)2-,NA,Rb(CH3COO)2-,aq,"SK93 [S98]",NA,10.Sep.92,-244000,-292490,68.3,117,122.2,18.6924,37.8608,-9.1318,-4.3441,80.2139,20.8,0.5941,-1
Cs(Ac),NA,CsCH3COO,aq,"SK93 [S98]",NA,19.Aug.92,-158010,-176320,57.5,40.6,73.3,11.7865,20.9974,-2.502,-3.6469,29.6579,5.2264,-0.03,0
Cs(Ac)2-,NA,Cs(CH3COO)2-,aq,"SK93 [S98]",NA,10.Sep.92,-245900,-293570,73.2,102.6,131.1,19.8839,40.767,-10.2671,-4.4642,71.0739,17.858,0.5208,-1
Cu(Ac),NA,CuCH3COO,aq,"SK93 [S98]",NA,19.Aug.92,-76770,-99970,28.7,85.5,40.5,7.3009,10.0483,1.7946,-3.1943,56.0175,14.3883,-0.03,0
Cu(Ac)2-,NA,Cu(CH3COO)2-,aq,"SK93 [S98]",NA,10.Sep.92,-165000,-219740,37,190.3,94.6,15.0715,29.0205,-5.6592,-3.9786,127.5564,35.7339,1.0691,-1
Au(Ac),NA,AuCH3COO,aq,"SK93 [S98]",NA,10.Sep.92,-49870,-68310,48,56.1,61.8,10.213,17.1576,-0.9969,-3.4882,38.7432,8.3843,-0.03,0
Au(Ac)2-,NA,Au(CH3COO)2-,aq,"SK93 [S98]",NA,10.Sep.92,-138240,-186750,61.3,132.8,118.3,18.1917,36.6392,-8.6534,-4.2936,90.461,24.0193,0.701,-1
NH4(Ac),NA,NH4CH3COO,aq,"SK93 [S98]",NA,10.Sep.92,-107550,-147230,50.7,90.1,69.6,11.2849,19.7719,-2.0187,-3.5963,58.7075,15.3233,-0.03,0
NH4(Ac)2-,NA,NH4(CH3COO)2-,aq,"SK93 [S98]",NA,10.Sep.92,-195640,-265200,64.7,199.3,127,19.3685,39.509,-9.7736,-4.4122,128.9386,37.5581,0.6495,-1
Be(Ac)+,NA,BeCH3COO+,aq,"SK93 [S98]",NA,11.Mar.93,-174020,-213040,-45.6,97.1,21.1,5.0795,4.6238,3.9264,-2.97,74.547,16.741,1.2465,1
Be(Ac)2,NA,Be(CH3COO)2,aq,"SK93 [S98]",NA,11.Mar.93,-263740,-336230,-43.8,215.1,73,11.7442,20.8961,-2.4661,-3.6427,131.9355,40.7754,-0.03,0
Ra(Ac)+,NA,RaCH3COO+,aq,"SK93 [S98]",NA,11.Mar.93,-223900,-239380,48,67.6,37.6,6.8554,8.9566,2.2315,-3.1492,44.1726,10.737,-0.1754,1
Ra(Ac)2,NA,Ra(CH3COO)2,aq,"SK93 [S98]",NA,11.Mar.93,-312940,-353260,78.8,157.6,91.4,14.2584,27.0324,-4.8725,-3.8964,98.2315,29.0609,-0.03,0
Sc(Ac)+2,NA,ScCH3COO+2,aq,"SK93 [S98]",NA,10.Sep.92,-233010,-268100,-42.4,65.7,2.8,2.7175,-1.1437,6.1937,-2.7316,60.3195,10.3398,1.7013,2
Sc(Ac)2+,NA,Sc(CH3COO)2+,aq,"SK93 [S98]",NA,10.Sep.92,-324640,-389320,-27.5,156,52.5,9.2794,14.8737,-0.0899,-3.3938,106.5183,28.737,0.9706,1
Sc(Ac)3,NA,Sc(CH3COO)3,aq,"SK93 [S98]",NA,10.Sep.92,-415370,-511840,-20,235.6,108,16.5277,32.5748,-7.0539,-4.1255,143.9346,44.946,-0.03,0
Pr(Ac)+2,NA,PrCH3COO+2,aq,"SK93 [S98]",NA,10.Sep.92,-254570,-287880,-26.8,38,2.5,2.6078,-1.4116,6.2996,-2.7205,41.9424,4.7024,1.4671,2
