name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,d5
almandine,-4943492,-5267216,340.007,11.511,573.96,-1483.1,-29292000,5022080000,0,0,0,-0.0558,3.21E-08,1.8613,0.74539,,,,,,,,,,,,,,
annite,-4793115,-5142800,420,15.408,727.21,-4775.04,-13831900,2119060000,0,0,0,-0.1697,0,3.4447,0,,,,,,,,,,,,,,
ilmenite,-1155794,-1232448,108.628,3.17,150,-441.6,-3323700,348150000,0,0,0,-0.0584,1.23E-07,2.7248,0.29968,,,,,,,,,,,,,,
phlogopite,-5830350,-6210391,334.346,14.977,610.38,-2083.8,-21533000,2841040000,0,0,0,-0.1697,0,3.4447,0,,,,,,,,,,,,,,
